age_CE,966031_raw,966032_raw,966051_raw,966052_raw,966061_raw,966062_raw,966081_raw,966082_raw,966091_raw,966092_raw,966101_raw,966102_raw,966111_raw,966112_raw,966121_raw,966122_raw,966141_raw,966142_raw,966151_raw,966152_raw,966161_raw,966162_raw,966171_raw,966172_raw,966181_raw,966182_raw,966191_raw,966192_raw,966201_raw,966202_raw
1612,,,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,
1613,,,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
1614,,,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,
1615,,,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,
1616,,,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,
1617,,,1.77,,,,,,,,,,,1.55,,,,,,,,,,,,,,,,
1618,,,2.19,,,,,,,,,,,1.56,,,,,,,,,,,,,,,,
1619,,,1.32,,,,,,,,,,,1.69,,,,,,,,,,,,,,,,
1620,,,1.49,1.43,,,,,,,,,,1.64,,,,,,,,,,,,,,,,
1621,,,1.59,1.62,,,,,,,,,,1.6,,,,,,,,,,,,,,,,
1622,,,1.46,1.52,,,,,,,,,,1.47,,,,,,,,,,,,,,,,
1623,,,1.65,0.92,,,,,,,,,,1.95,,,,,,,,,,,,,,,,
1624,,,1.74,1.39,,,,,,,,,,1.11,,,,,,,,,,,,,,,,
1625,,,1.42,1.13,,,,,,,,,,0.88,,,,,,,,,,,,,,,,
1626,,,1.09,0.96,,,0.93,,,,,,,1.19,,,,,,,,,,,,,,,,
1627,,,1.16,1.18,,,0.69,,,,,,,1.22,,,,,,,,,,,,,,,,
1628,,,0.95,1.39,,,0.76,,,,,,,1.17,,,,,,,,,,,,,,,,
1629,,,1.39,1.1,,,1.06,,,,,,,1.0,,,,,,0.97,,,,,,,,,,
1630,,,1.23,1.41,,,0.97,,,,,,,0.97,,,,,,0.88,,,,,,,,,,
1631,,,1.04,1.42,,,0.98,,,,,,,1.42,,,,,1.41,1.17,,,,,,,,,,
1632,,,1.15,1.02,,,0.97,,,,,,,1.05,,,,,1.08,1.02,,,,,,,,,,
1633,,,1.33,1.2,,,0.69,,,,,,,1.46,,,,,1.31,1.22,,,,,,,,,,
1634,,,1.07,1.11,,,0.91,,,,,,,1.18,,,,,1.27,1.06,,,,,,,,,,
1635,,,1.08,0.98,,,0.92,,,,,,,1.15,,,,,1.28,1.11,,,,,,,,,,
1636,0.48,,1.34,1.11,,,0.83,,,,,,,1.04,,,,,1.01,1.03,,,,,,,,,,
1637,0.38,,1.33,1.29,,,0.81,,,,,,,0.79,,,,,0.96,1.25,,,,,,,,,,
1638,0.51,,0.97,1.13,,,1.42,,,,,,,0.87,,,,,1.08,1.35,,,,,,,,,,
1639,0.31,,0.99,1.32,,,1.25,,,,,,,0.84,,,,,1.31,1.19,,,,,,,,,,
1640,0.01,,0.86,0.86,,,0.87,,,,,,,0.63,,,,,0.97,1.0,,,,,,,,,,
1641,0.13,,0.78,0.75,,,0.76,,,,,,,0.55,,,,,0.73,0.87,,,,,,,,,,
1642,0.53,,0.86,0.78,,,0.83,,,,,,,0.54,,,,,0.84,0.72,,,,,,,,,,
1643,0.44,,0.86,1.2,,,0.91,,,,,,,0.71,,,,,0.87,0.79,,,,,,,,,,
1644,0.46,,0.87,1.32,,,0.78,,,,,,,0.77,,,,,0.98,1.03,,,,,,,,,,
1645,0.63,,1.21,1.11,,,1.0,,,,,,,0.58,,,,,0.83,0.94,,,,,,,,,,
1646,0.6,,0.54,1.0,,,0.89,,,,,,,0.77,,,,,0.77,0.9,,,,,,,,,,
1647,0.74,,0.61,0.97,,,0.7,,,,,,0.44,0.87,,,,,0.69,0.79,,,,,,,,,,
1648,0.72,,0.6,0.91,,,0.68,,,,,,0.55,0.87,,,,,0.57,0.92,,,,,,,,,,
1649,0.73,,0.79,1.08,,,0.69,,,,,,0.53,1.07,,,,,0.9,1.1,,,,,,,,,,
1650,0.73,,0.9,1.08,,,0.55,,,,,,0.71,0.91,,,,,0.96,1.21,,,,,,,,,,
1651,0.8,,1.13,0.99,,,0.98,,,,,,0.86,1.08,,,,,0.91,0.99,,,,,,,,,,
1652,0.84,,0.7,1.09,,,0.67,,,,,,0.64,0.8,,,,,0.62,0.9,,,,,,,,,,
1653,0.92,,0.6,0.97,,,0.8,,,,,,0.82,0.89,,,,,1.04,0.9,,,,,,,,,,
1654,0.96,,0.67,1.03,,,0.95,,,,,,0.91,0.96,,,,,1.01,1.0,,,,,,,,,,
1655,0.81,,0.87,0.57,,,0.72,,,,,,0.46,0.68,,,,,0.61,0.72,,,,,,,,,,
1656,0.92,,0.96,0.74,,,0.73,,,,,,0.56,0.9,,,,,0.94,0.77,,,,,,,,,,
1657,1.07,,0.89,0.67,,,0.82,,,,,,0.5,0.83,,,,,0.91,0.82,,,,,,,,,,
1658,1.04,,1.03,0.7,,,0.94,,,,,,0.44,0.78,,,,,1.02,0.93,,,,,,,,,,
1659,0.89,,1.01,0.71,,,0.81,,,,,,0.47,0.92,,,,,0.77,0.74,,,,,,,,,,
1660,0.9,,1.31,0.42,,,0.69,,,,,,0.49,0.81,,,,,0.84,0.64,,,,,,,,,,
1661,0.83,,0.83,0.53,,,0.71,,,,,,0.47,0.7,,,,,0.65,0.75,,,,,,,,,,
1662,0.8,,0.66,0.83,,,0.86,,,,,,0.64,0.95,,,,,0.88,1.11,,,,,,,,,,
1663,0.71,,0.75,0.78,,,0.63,,,,,,0.65,1.0,,,,,0.88,0.89,,,,,,,,,,
1664,0.77,,0.68,0.58,,,0.65,,,,,,0.48,0.86,,,,,0.68,0.79,,,,,,,,,,
1665,0.81,,0.0,0.74,,,0.74,,,,,,0.51,1.12,,,,,0.87,0.83,,,,,,,,,,
1666,0.69,,0.0,0.9,,,0.57,,,,,,0.45,0.85,,,,,0.8,0.77,,,,,,,,,,
1667,0.31,,0.0,0.32,,,0.26,,,,,,0.24,0.38,,,,,0.21,0.16,,,,,,,,,,
1668,0.39,,0.0,0.24,,,0.19,,,,,,0.2,0.3,,,,,0.1,0.05,,,,,,,,,,
1669,0.57,,0.0,0.37,,,0.48,,,,,,0.28,0.36,,,,,0.05,0.1,,,,,,,,,,
1670,0.44,,0.0,0.42,,,0.44,,,,,,0.26,0.39,,,,,0.12,0.09,,,,,,,,,,
1671,0.37,,0.0,0.38,,,0.39,,,,,,0.23,0.38,,,,,0.12,0.05,,,,,,,,,,
1672,0.25,,0.0,0.29,,,0.26,,,,,,0.13,0.19,,,,,0.01,0.02,,,,,,,,,,
1673,0.34,,0.0,0.34,,,0.4,,,,,,0.24,0.21,,,,,0.17,0.25,,,,,,,,,,
1674,0.32,,0.0,0.32,,,0.48,,,,,,0.25,0.24,,,,,0.22,0.41,,,,,,,,,,
1675,0.33,,0.0,0.5,,,0.55,,,,,,0.28,0.27,,,,,0.32,0.45,,,,,,,,,,
1676,0.37,,0.0,0.4,,,0.54,,,,,,0.25,0.27,,,,,0.31,0.44,,,,,,,,,,
1677,0.28,,0.0,0.33,,,0.26,,,,,,0.15,0.19,,,,,0.2,0.12,,,,,,,,,,
1678,0.08,,0.0,0.3,,,0.17,,,,,,0.19,0.17,,,,,0.23,0.12,,,,,,,,,,
1679,0.2,,0.0,0.47,,,0.35,,,,,,0.41,0.28,,,,,0.35,0.26,,,,,,,,,,
1680,0.26,,0.0,0.51,,,0.41,0.16,,,,,0.5,0.37,,,,,0.46,0.45,,,,,,,,,,
1681,0.21,,0.0,0.42,,,0.26,0.11,,,,,0.41,0.4,,,,,0.35,0.33,,,,,,,,,,
1682,0.26,,0.31,0.47,,,0.36,0.04,,,,,0.63,0.64,,,,,0.31,0.34,,,,,,,,,,
1683,0.53,,0.61,0.8,,,0.71,0.1,,,,,0.82,0.93,,,,,0.81,0.64,,,,,,,,,,
1684,0.57,0.65,0.48,1.09,,,0.89,0.29,,,,,1.06,1.02,,,,,0.98,1.02,,,,,,,,,,
1685,0.55,0.6,0.59,0.76,,,0.8,0.41,,,,,1.07,1.24,,,,,0.92,0.75,,,,,,,,,,
1686,0.55,0.5,0.64,0.74,,,0.68,0.28,,,,,0.8,1.09,,,,,0.93,0.75,,,,,,,,,,
1687,0.75,0.68,0.61,0.81,,,0.75,0.61,,,,,1.14,0.94,,,,,0.88,0.75,,,,,,,,,,
1688,0.69,0.5,0.64,0.72,,,0.68,0.49,,,,,0.75,0.61,,,,,0.67,0.62,,,,,,,,,,
1689,0.86,0.8,0.67,1.14,,,1.03,0.76,,,,,0.8,0.94,,,,,1.04,0.69,,,,,,,,,,
1690,0.83,1.02,0.63,0.93,,,1.2,0.74,,,,,1.01,0.92,,,,,0.85,0.56,,,,,,,,,,
