age_CE,BTC0101_raw,BTC0102_raw,BTC0201_raw,BTC0301_raw,BTC0501_raw,BTC0502_raw,BTC0601_raw,BTC0602_raw,BTC0701_raw,BTC0801_raw,BTC0802_raw,BTC0901_raw,BTC0902_raw,BTC1201_raw,BTC1202_raw,BTC1501_raw,BTC2002_raw,BTC2101_raw,BTC2201_raw,BTC2301_raw,BTC2501_raw,BTC2502_raw,BTC2601_raw,BTC2602_raw,BTC2701_raw,BTC2702_raw,BTC2801_raw,BTC2901_raw,BTC2902_raw,BTC3001_raw,BTC3002_raw,BTC3101_raw,BTC3302_raw,BTC3602_raw,BTC4001_raw,BTC1602_raw,BTC0302_raw,BTC1002_raw,BTC1601_raw,BTC0702_raw
1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,
1931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,
1932,,,,,,,1.21,,,,,,,,,,,,,,,,,,,,,,,,1.76,,,,,,,,,
1933,,,,,,,3.41,,,,,,,,,,,,,,,,,,,,,,,,2.51,,,,,,,,,
1934,,,,,,,5.41,,,14.75,,,,,,,,,,,,,,,,,,,,,10.03,,,,,,,,,
1935,,,,,,,1.6,,,6.33,,,,,,,,,,,,,,,,,,,,,7.11,,,,,,,,,
1936,,,,,,,1.16,,,7.86,,,,,,,,,,,,,,,,,,,,,3.03,,,,,,,,,
1937,,,,,,,4.59,0.75,,5.46,,,,,,,,,,,,,,,,,,,,,1.43,,,,,,,,,
1938,,,,,,,6.51,2.6,1.67,1.83,,,,,,,,,,,,,,,,,,,,,0.52,,,,,,,,,
1939,,,,,,,1.61,1.44,0.41,1.19,,,,,,,,,,,,,,,,,,,,,1.68,,,,,,,,,
1940,,,,,,,6.62,4.79,0.91,1.46,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,
1941,,,,,,,1.06,3.64,0.41,0.75,,,,,,,,,,,,,,,,,,,,,1.19,,,,,,,,,3.51
1942,,,,,,,1.14,7.22,2.21,2.06,,,,,,,,,,,,,,,,,,,,,3.11,,,,,,,,,4.1
1943,,,,,,,1.92,7.26,5.25,2.86,,,13.13,,,,,,,,,,,,,,,,,,2.19,,,,,,,,,5.45
1944,,,,,2.44,7.62,0.52,5.97,0.73,2.59,,,0.79,,,,,,,,,,,,,,,,,,4.65,,,,,,,,,1.37
